date, time, CPNUM, M(1;0), M(2;0), M(3;0), Copt, 
2019-03-28, 10:22:30, 235256, 16.63, 408.86, 12999.37, 0.32, 
2019-03-28, 10:23:46, 225481, 16.64, 407.77, 12912.44, 0.32, 
2019-03-28, 10:25:02, 237251, 16.62, 405.99, 12804.58, 0.32, 
2019-03-28, 10:26:19, 227362, 16.58, 405.62, 12847.37, 0.32, 
2019-03-28, 10:27:35, 227789, 16.58, 404.77, 12746.78, 0.32, 
2019-03-28, 10:28:52, 220194, 16.64, 407.65, 12919.09, 0.32, 
2019-03-28, 10:30:09, 225983, 16.61, 405.65, 12766.53, 0.32, 
2019-03-28, 10:31:26, 212628, 16.62, 408.05, 12926.83, 0.32, 
2019-03-28, 10:32:42, 220003, 16.56, 405.29, 12853.30, 0.32, 
2019-03-28, 10:33:58, 227110, 16.66, 408.18, 12896.23, 0.32, 
2019-03-28, 10:35:15, 235466, 16.62, 407.03, 12870.39, 0.32, 
2019-03-28, 10:36:31, 228031, 16.61, 407.17, 14793.46, 0.32, 
2019-03-28, 10:37:48, 221374, 16.50, 401.84, 12640.51, 0.32, 
2019-03-28, 10:39:05, 226731, 16.61, 405.52, 12754.56, 0.32, 
2019-03-28, 10:40:22, 222111, 16.58, 406.08, 12863.09, 0.32, 
2019-03-28, 10:41:38, 219467, 16.67, 408.79, 12907.73, 0.32, 
2019-03-28, 10:42:54, 220542, 16.64, 409.09, 13014.51, 0.32, 
2019-03-28, 10:44:10, 221233, 16.67, 409.08, 12960.26, 0.32, 
2019-03-28, 10:45:27, 208377, 16.62, 406.26, 12813.43, 0.32, 
2019-03-28, 10:46:43, 226999, 16.64, 406.63, 12819.16, 0.32, 
2019-03-28, 10:48:00, 218868, 16.60, 405.21, 12744.98, 0.32, 
2019-03-28, 10:49:16, 224066, 16.64, 409.40, 13027.33, 0.32, 
2019-03-28, 10:50:34, 217995, 16.65, 408.52, 12943.30, 0.32, 
2019-03-28, 10:51:50, 225972, 16.63, 406.35, 12797.21, 0.32, 
2019-03-27, 14:50:25, 19013, 6.14, 67.03, 1972.81, 0.00, 
2019-03-27, 14:52:15, 18188, 5.99, 57.86, 1063.79, 0.00, 
2019-03-27, 14:53:30, 18297, 6.03, 62.17, 1384.77, 0.00, 
2019-03-27, 14:54:45, 19348, 6.04, 60.78, 1260.08, 0.00, 
2019-03-27, 14:56:00, 17869, 5.98, 57.88, 1137.65, 0.00, 
2019-03-27, 14:57:15, 17133, 5.97, 65.13, 13638.05, 0.00, 
2019-03-27, 14:58:30, 15190, 6.02, 60.50, 1258.44, 0.00, 
2019-03-27, 14:59:46, 15756, 6.28, 79.25, 30908.82, 0.00, 
2019-03-27, 15:01:02, 17015, 5.96, 59.06, 1234.70, 0.00, 
2019-03-27, 15:02:17, 17905, 6.05, 61.99, 1374.41, 0.00, 
2019-03-27, 15:03:33, 16274, 6.03, 66.07, 1813.37, 0.00, 
2019-03-27, 15:04:48, 17392, 6.21, 67.17, 1577.35, 0.00, 
2019-03-27, 15:06:03, 15529, 6.15, 70.11, 5029.37, 0.00, 
2019-03-27, 15:07:19, 14812, 6.26, 77.06, 2313.59, 0.00, 
2019-03-27, 15:08:34, 14872, 6.06, 65.06, 1470.09, 0.00, 
2019-03-27, 15:09:50, 47674, 24.21, 863.24, 37308.65, 0.09, 
